time_s,amplitude_mv
0.000000,0.009721
0.002778,0.008723
0.005556,0.074511
0.008333,0.057239
0.011111,-0.070179
0.013889,-0.078957
0.016667,-0.030470
0.019444,-0.006946
0.022222,0.045478
0.025000,0.041334
0.027778,0.079070
0.030556,0.039441
0.033333,-0.011601
0.036111,0.022231
0.038889,0.038799
0.041667,0.048393
0.044444,0.117590
0.047222,0.075718
0.050000,0.102137
0.052778,0.046172
0.055556,0.041804
0.058333,0.062012
0.061111,0.172064
0.063889,0.171218
0.066667,0.169362
0.069444,0.146247
0.072222,0.140081
0.075000,0.123992
0.077778,0.148497
0.080556,0.193373
0.083333,0.281016
0.086111,0.208110
0.088889,0.173091
0.091667,0.118270
0.094444,0.131694
0.097222,0.151445
0.100000,0.144773
0.102778,0.152728
0.105556,0.154891
0.108333,0.165027
0.111111,0.115010
0.113889,0.067081
0.116667,0.020299
0.119444,0.064685
0.122222,0.081791
0.125000,0.080629
0.127778,0.061413
0.130556,-0.014438
0.133333,-0.041462
0.136111,-0.057023
0.138889,0.000148
0.141667,0.088798
0.144444,0.105199
0.147222,0.206597
0.150000,0.270552
0.152778,0.364211
0.155556,0.525270
0.158333,0.771300
0.161111,0.893644
0.163889,1.084025
0.166667,1.038603
0.169444,1.005961
0.172222,0.873297
0.175000,0.714517
0.177778,0.563037
0.180556,0.438536
0.183333,0.292613
0.186111,0.174123
0.188889,0.090579
0.191667,-0.056801
0.194444,-0.174092
0.197222,-0.210061
0.200000,-0.208171
0.202778,-0.160483
0.205556,-0.181171
0.208333,-0.195746
0.211111,-0.263262
0.213889,-0.253759
0.216667,-0.203518
0.219444,-0.157783
0.222222,-0.052622
0.225000,-0.028687
0.227778,-0.002504
0.230556,-0.014904
0.233333,-0.051394
0.236111,0.012081
0.238889,0.025128
0.241667,0.089937
0.244444,0.134005
0.247222,0.126268
0.250000,0.097885
0.252778,0.039603
0.255556,0.021728
0.258333,0.059129
0.261111,0.056001
0.263889,0.096294
0.266667,0.099786
0.269444,0.078639
0.272222,0.083718
0.275000,0.030988
0.277778,0.069267
0.280556,0.165332
0.283333,0.155537
0.286111,0.197622
0.288889,0.123534
0.291667,0.109550
0.294444,0.069583
0.297222,0.105795
0.300000,0.186746
0.302778,0.155599
0.305556,0.239262
0.308333,0.217264
0.311111,0.158593
0.313889,0.111752
0.316667,0.169759
0.319444,0.195246
0.322222,0.267944
0.325000,0.288539
0.327778,0.327133
0.330556,0.240078
0.333333,0.190824
0.336111,0.231943
0.338889,0.271541
0.341667,0.356023
0.344444,0.372401
0.347222,0.354572
0.350000,0.356459
0.352778,0.245079
0.355556,0.256532
0.358333,0.277479
0.361111,0.340343
0.363889,0.344594
0.366667,0.404521
0.369444,0.346695
0.372222,0.270170
0.375000,0.266950
0.377778,0.324894
0.380556,0.380894
0.383333,0.448952
0.386111,0.478088
0.388889,0.370442
0.391667,0.282756
0.394444,0.220122
0.397222,0.298326
0.400000,0.298918
0.402778,0.343344
0.405556,0.342116
0.408333,0.325348
0.411111,0.312436
0.413889,0.247984
0.416667,0.234668
0.419444,0.235278
0.422222,0.249118
0.425000,0.294762
0.427778,0.282007
0.430556,0.288014
0.433333,0.196536
0.436111,0.210836
0.438889,0.188844
0.441667,0.203174
0.444444,0.227051
0.447222,0.216622
0.450000,0.257534
0.452778,0.124649
0.455556,0.157744
0.458333,0.124311
0.461111,0.216355
0.463889,0.225089
0.466667,0.200747
0.469444,0.165529
0.472222,0.102541
0.475000,0.114281
0.477778,0.101994
0.480556,0.116880
0.483333,0.147395
0.486111,0.192330
0.488889,0.202631
0.491667,0.116185
0.494444,0.082035
0.497222,0.103763
0.500000,0.171517
0.502778,0.176241
0.505556,0.167451
0.508333,0.188052
0.511111,0.125083
0.513889,0.127984
0.516667,0.090774
0.519444,0.082937
0.522222,0.119309
0.525000,0.227676
0.527778,0.211997
0.530556,0.114136
0.533333,0.073514
0.536111,0.125318
0.538889,0.078333
0.541667,0.127021
0.544444,0.197647
0.547222,0.155837
0.550000,0.129505
0.552778,0.086753
0.555556,0.091159
0.558333,0.147820
0.561111,0.150746
0.563889,0.197568
0.566667,0.113403
0.569444,0.139173
0.572222,0.074864
0.575000,0.046084
0.577778,0.074514
0.580556,0.132005
0.583333,0.204472
0.586111,0.141232
0.588889,0.152403
0.591667,0.095200
0.594444,0.075994
0.597222,0.127181
0.600000,0.151878
0.602778,0.214489
0.605556,0.180997
0.608333,0.140837
0.611111,0.113219
0.613889,0.097642
0.616667,0.099661
0.619444,0.096761
0.622222,0.173135
0.625000,0.195430
0.627778,0.246545
0.630556,0.186799
0.633333,0.070568
0.636111,0.084148
0.638889,0.079033
0.641667,0.147596
0.644444,0.199301
0.647222,0.215342
0.650000,0.119260
0.652778,0.083470
0.655556,0.027997
0.658333,0.112033
0.661111,0.127394
0.663889,0.173515
0.666667,0.159654
0.669444,0.148754
0.672222,0.058265
0.675000,0.049358
0.677778,0.175336
0.680556,0.113883
0.683333,0.154442
0.686111,0.246353
0.688889,0.248727
0.691667,0.084537
0.694444,0.084601
0.697222,0.117035
0.700000,0.197148
0.702778,0.154177
0.705556,0.187552
0.708333,0.194176
0.711111,0.141979
0.713889,0.087945
0.716667,0.099072
0.719444,0.096628
0.722222,0.171716
0.725000,0.188892
0.727778,0.186145
0.730556,0.121852
0.733333,0.118188
0.736111,0.130885
0.738889,0.135191
0.741667,0.183319
0.744444,0.198734
0.747222,0.186333
0.750000,0.126507
0.752778,0.119467
0.755556,0.096232
0.758333,0.186299
0.761111,0.212914
0.763889,0.207277
0.766667,0.169227
0.769444,0.124224
0.772222,0.152601
0.775000,0.106977
0.777778,0.131443
0.780556,0.105603
0.783333,0.220459
0.786111,0.210023
0.788889,0.133262
0.791667,0.110392
0.794444,0.108268
0.797222,0.112924
0.800000,0.140939
0.802778,0.184949
0.805556,0.191475
0.808333,0.179410
0.811111,0.176912
0.813889,0.025915
0.816667,0.099519
0.819444,0.146562
0.822222,0.190986
0.825000,0.188824
0.827778,0.129430
0.830556,0.151155
0.833333,0.159099
0.836111,0.057832
0.838889,0.159992
0.841667,0.166792
0.844444,0.199679
0.847222,0.159830
0.850000,0.144177
0.852778,0.156325
